Rank,Company,Symbol,Industry,ESG Score,Comp Rtg,RS Rtg,EPS Rtg,SMR Rtg,3-Yr EPS Growth Rate,ROE,Last Qtr Sales % Chg,Last Qtr EPS % Chg,Div Yld
77,Peabody Energy,BTU,Energy-Coal,63.41,93,97,51,A,N.A.,25,83,1081,N.A.
78,FMC,FMC,Chemicals-Agriculture,63.33,84,71,89,A,7,30,17,7,2
79,Cadence Design Systems,CDNS,Computer Software-Design,63,97,89,97,A,24,35,18,26,N.A.
80,Broadridge Financial Solutions,BR,Financial Services-Specialty,62.96,92,90,91,A,12,42,12,21,1.7
81,Keurig Dr Pepper,KDP,Beverages-Non-Alcoholic,62.9,88,88,54,B,17,9,13,3,2
82,Ameren,AEE,Utility-Diversified,62.84,88,85,70,B,8,11,17,0,2.5
83,Federal Signal,FSS,Security/Safety,62.82,84,87,78,C,1,15,10,6,0.9
84,Agilent Technologies,A,Medical-Research Equipment/Services,62.81,81,55,93,A,19,26,8,22,0.7
85,Eversource Energy,ES,Utility-Electric Power,62.75,90,83,83,C,4,9,21,9,2.8
86,NRG Energy,NRG,Utility-Diversified,62.7,91,73,87,B,105,83,39,-51,3.4
87,ConAgra Brands,CAG,Food-Packaged,62.55,89,86,79,C,8,13,6,20,3.8
88,Alliant Energy,LNT,Utility-Diversified,62.45,92,79,83,B,6,12,15,9,2.8
89,Albemarle,ALB,Chemicals-Specialty,62.39,99,93,89,B,-3,10,91,288,0.6
90,Chipotle Mexican Grill,CMG,Retail-Restaurants,62.27,98,86,93,A,37,34,17,25,N.A.
91,Lincoln Electric Holdings,LECO,Machinery-Tools & Related,62.1,97,83,92,A,16,45,17,31,1.6
92,MSC Industrial Direct,MSM,Retail/Wholesale-Building Products,62.02,82,69,86,B,0,22,11,28,3.8
93,Visteon,VC,Auto/Trucking-Original Equipment,61.99,93,89,73,C,6,13,39,519,N.A.
94,Epam Systems,EPAM,Computer-Technology Services,61.9,96,92,96,A,28,24,36,16,N.A.
95,Range Resources,RRC,Oil & Gas-US Exploration & Products,61.69,99,97,82,A,N.A.,27,182,429,N.A.
96,American Tower,AMT,Finance-Property REIT,61.56,92,71,92,A,20,56,16,18,2.2
97,Arch Resources,ARCH,Energy Coal,61.55,99,97,80,A,N.A.,70,152,1063,0.7
98,KBR,KBR,Building-Heavy Construction,61.55,89,88,94,B,19,21,5,31,1
99,Ormat Technologies,ORA,Energy-Alternative/Other,61.55,88,94,38,C,-7,4,15,-4,0.5
100,Hormel Foods,HRL,Food-Meat Products,61.43,88,88,75,B,-1,14,19,14,2.1
